FIPS,N02650,A02650,"Population Estimate, 2013","Population Estimate, 2016",PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13
01001,34230.0,1659673.0,"54,792","55,416",13.0,34.1
01003,90660.0,5118057.0,"195,147","208,563",10.4,27.4
01005,11480.0,446600.0,"26,938","25,965",18.4,44.4
01007,23170.0,1124762.0,"22,501","22,643",14.8,40.3
01009,63020.0,3023206.0,"57,746","57,704",14.1,34.6
01011,11920.0,497158.0,"10,576","10,362",19.6,43.0
01013,11150.0,435828.0,"20,330","19,998",17.7,36.3
01015,55790.0,2477429.0,"116,475","114,611",14.9,32.2
01017,32770.0,1288529.0,"34,123","33,843",16.4,39.7
01019,36230.0,1526329.0,"26,074","25,725",13.3,33.6
01021,30650.0,1371701.0,"43,769","43,941",13.3,35.9
01023,6440.0,303665.0,"13,384","12,993",18.1,40.8
01025,11460.0,529876.0,"25,105","24,392",16.3,38.2
01027,20500.0,798996.0,"13,464","13,492",14.6,37.3
01029,21200.0,1008142.0,"15,031","14,924",12.6,30.0
01031,46410.0,2179019.0,"50,729","51,226",15.9,33.7
01033,34590.0,1565040.0,"54,456","54,216",18.7,37.5
01035,27230.0,1166144.0,"12,866","12,395",17.4,36.4
01037,26020.0,1143474.0,"11,058","10,581",17.3,39.7
01039,18420.0,828603.0,"37,890","37,458",14.7,34.0
01041,20390.0,849865.0,"13,874","13,913",16.5,39.7
01043,53660.0,2521276.0,"80,731","82,471",14.4,33.4
01045,51410.0,2541996.0,"49,753","49,226",14.1,36.5
01047,17690.0,644003.0,"41,950","40,008",19.0,40.8
01049,49170.0,1893009.0,"70,882","70,900",13.4,30.4
01051,66450.0,3387451.0,"80,661","81,799",13.4,35.4
01053,19720.0,845363.0,"37,877","37,728",17.8,37.7
01055,63640.0,2739012.0,"103,790","102,564",16.8,35.1
01057,13460.0,581121.0,"16,858","16,546",15.1,33.7
01059,26370.0,1090567.0,"31,505","31,628",13.9,33.2
01061,39630.0,1894313.0,"26,754","26,614",13.9,34.1
01063,5030.0,185462.0,"8,702","8,422",21.0,46.3
01065,11760.0,441966.0,"15,293","14,952",16.0,40.4
01067,24240.0,1181392.0,"17,188","17,164",18.7,35.8
01069,53760.0,2647343.0,"103,614","104,056",13.7,32.8
01071,27090.0,1276501.0,"52,939","52,138",14.9,32.0
01073,351390.0,22997653.0,"658,578","659,521",13.0,33.2
01075,14810.0,604473.0,"14,192","13,918",14.9,33.6
01077,40560.0,2026122.0,"92,713","92,318",14.2,32.9
01079,32740.0,1681380.0,"33,570","33,244",15.6,35.5
01081,76350.0,3690273.0,"151,411","158,991",9.5,29.0
01083,61480.0,3613687.0,"88,904","92,753",12.6,32.9
01085,16310.0,643528.0,"10,685","10,358",23.5,45.1
01087,47800.0,2369767.0,"20,016","18,963",18.4,44.7
01089,168570.0,11136987.0,"346,704","356,967",11.5,32.3
01091,14260.0,611371.0,"20,208","19,673",20.2,40.3
01093,18540.0,738736.0,"30,283","29,998",18.7,35.5
01095,60430.0,2660483.0,"94,318","95,157",12.8,33.2
01097,172680.0,8242645.0,"413,884","414,836",15.6,37.1
01099,19250.0,774770.0,"22,154","21,530",17.8,35.3
01101,107320.0,5387242.0,"227,841","226,349",13.5,34.8
01103,68140.0,3360287.0,"119,652","119,012",12.6,31.6
01105,16580.0,637140.0,"9,995","9,574",21.7,43.0
01107,12970.0,533774.0,"19,370","20,324",16.4,36.4
