Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type
0,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,0
1,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,0
2,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,0
3,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,0
4,7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,0
5,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,0
6,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,0
7,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,0
8,6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,0
9,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,0
10,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,0
11,6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,0
12,6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,0
13,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,0
14,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,0
15,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,0
16,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,0
17,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,0
18,6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,0
19,7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,0
20,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,0
