Id,type
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,0
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,0
506,1
507,1
508,0
509,1
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,1
