,avg_income_n2_agi,Premature death Value,Poor or fair health Value,Poor physical health days Value,Poor mental health days Value,Low birthweight Value,Adult smoking Value,Adult obesity Value,Food environment index Value,Physical inactivity Value,Access to exercise opportunities Value,Excessive drinking Value,Alcohol-impaired driving deaths Value,Sexually transmitted infections Value,Teen births Value,Diabetic screening Value,Premature age-adjusted mortality Value,Frequent physical distress Value,Frequent mental distress Value,Diabetes Value
0,16.430620154438106,9215.0,0.194,4.4,4.3,0.09,0.187,0.309,7.1,0.287,0.708,0.151,0.318,416.1,35.2,0.84,456.4,0.1,0.1,0.109
1,31.412955104971772,7455.0,0.16,4.1,4.2,0.09,0.18600000000000005,0.267,7.6,0.252,0.722,0.151,0.394,308.2,41.6,0.84,356.0,0.1,0.1,0.109
2,18.287601388847804,8500.0,0.257,4.9,4.7,0.12,0.214,0.408,5.1,0.329,0.453,0.124,0.391,632.3,67.9,0.9,430.8,0.2,0.1,0.153
3,26.999780901629943,11008.0,0.22,4.8,4.6,0.12,0.21,0.401,7.4,0.332,0.328,0.138,0.344,367.3,48.4,0.84,541.7,0.1,0.1,0.125
4,22.035900216573467,8656.0,0.207,4.6,4.5,0.07,0.194,0.324,8.3,0.285,0.255,0.141,0.192,159.1,45.3,0.86,430.3,0.1,0.1,0.117
5,22.807844183449912,10262.0,0.293,5.3,4.8,0.14,0.223,0.445,3.9,0.331,0.232,0.113,0.44,992.9,83.5,0.88,469.4,0.2,0.2,0.173
6,17.900715561871316,11155.0,0.274,5.3,5.1,0.11,0.228,0.36,6.0,0.344,0.46,0.105,0.31,773.1,56.6,0.81,538.2,0.2,0.2,0.162
7,23.52003059891044,10352.0,0.223,4.9,4.9,0.09,0.238,0.32,6.2,0.336,0.593,0.129,0.25,680.3,47.2,0.81,520.7,0.2,0.1,0.126
8,18.749062380183986,11923.0,0.258,5.1,4.9,0.12,0.208,0.398,5.7,0.348,0.612,0.12,0.333,901.2,60.7,0.84,568.3,0.2,0.2,0.153
9,23.334085324903132,12007.0,0.198,4.6,4.7,0.09,0.198,0.327,7.8,0.31,0.329,0.133,0.2,222.9,49.8,0.89,528.2,0.1,0.1,0.125
10,22.76232108303471,10790.0,0.208,4.6,4.6,0.09,0.212,0.371,7.8,0.32,0.32299999999999995,0.14,0.28800000000000003,337.8,58.2,0.88,534.1,0.1,0.1,0.118
11,23.012202607947003,12530.0,0.254,4.9,4.8,0.1,0.19,0.387,5.8,0.338,0.201,0.112,0.4,432.8,40.7,0.88,522.1,0.2,0.1,0.157
12,23.613910573909322,10306.0,0.258,5.3,4.9,0.13,0.212,0.361,4.9,0.302,0.381,0.11,0.333,763.1,40.8,0.79,464.5,0.2,0.2,0.155
13,20.74305317278968,8484.0,0.231,5.0,4.8,0.12,0.204,0.377,7.2,0.362,0.213,0.123,0.333,521.0,50.3,0.87,465.7,0.2,0.1,0.135
14,19.749789620897328,10847.0,0.181,4.3,4.4,0.09,0.185,0.3,7.9,0.332,0.402,0.142,0.304,323.6,57.2,0.82,531.7,0.1,0.1,0.11
15,23.523283581931768,7296.0,0.208,4.8,4.6,0.09,0.193,0.302,6.9,0.294,0.708,0.134,0.325,597.0,41.1,0.88,381.8,0.1,0.1,0.123
16,26.885496183160036,10076.0,0.214,4.8,4.8,0.1,0.185,0.366,7.0,0.297,0.443,0.134,0.073,549.2,51.8,0.86,490.4,0.1,0.1,0.134
17,24.18069559091491,11853.0,0.314,5.8,5.3,0.14,0.238,0.3720000000000001,4.6,0.335,0.001,0.103,0.235,577.8,52.8,0.77,542.6,0.2,0.2,0.185
18,24.83721075631205,10311.0,0.247,5.1,4.9,0.12,0.218,0.388,6.6,0.308,0.245,0.123,0.433,446.8,48.8,0.88,512.1,0.2,0.2,0.156
19,24.202888699279104,9676.0,0.214,4.8,4.8,0.1,0.199,0.316,7.2,0.355,0.512,0.131,0.326,400.5,65.6,0.82,470.8,0.1,0.1,0.129
20,20.305547944641788,9118.0,0.233,4.9,4.7,0.08,0.204,0.366,5.7,0.316,0.35600000000000004,0.128,0.263,575.2,49.5,0.82,445.5,0.1,0.1,0.138
21,24.056144366121067,9491.0,0.198,4.5,4.7,0.09,0.201,0.34700000000000003,7.7,0.284,0.381,0.14300000000000002,0.22,294.6,55.0,0.9,463.0,0.1,0.1,0.115
22,20.345092459276344,8368.0,0.211,4.5,4.6,0.08,0.202,0.362,6.3,0.278,0.48,0.13699999999999998,0.409,596.7,45.5,0.85,438.9,0.1,0.1,0.12
23,16.67278225524424,12135.0,0.3,6.0,5.4,0.13,0.254,0.424,3.7,0.342,0.588,0.097,0.62,1208.5,67.8,0.77,599.1,0.2,0.2,0.19
24,19.5788848384232,9813.0,0.228,4.8,4.7,0.09,0.192,0.306,7.9,0.324,0.402,0.127,0.348,246.2,56.3,0.88,481.0,0.1,0.1,0.115
25,26.77340854808061,8064.0,0.182,4.2,4.3,0.09,0.193,0.303,7.3,0.297,0.6809999999999999,0.15,0.35600000000000004,487.4,41.2,0.85,408.0,0.1,0.1,0.105
26,22.74820846840177,10954.0,0.265,5.2,5.0,0.1,0.227,0.394,6.0,0.334,0.561,0.125,0.484,486.9,65.3,0.78,551.9,0.2,0.2,0.154
27,22.308031837916065,11392.0,0.228,5.0,5.1,0.08,0.223,0.34700000000000003,6.7,0.325,0.44,0.129,0.274,695.5,51.5,0.85,546.4,0.2,0.2,0.13
28,21.125367646621925,10604.0,0.222,4.9,4.7,0.11,0.205,0.324,7.4,0.305,0.274,0.126,0.35700000000000004,371.0,51.3,0.81,534.3,0.2,0.1,0.134
29,18.531240712928206,12179.0,0.232,5.1,4.8,0.09,0.197,0.342,7.5,0.348,0.588,0.126,0.24,318.0,58.2,0.86,575.9,0.2,0.2,0.123
30,27.436901029859143,8851.0,0.22,4.9,4.8,0.09,0.219,0.34700000000000003,7.5,0.305,0.274,0.13,0.28600000000000003,460.4,55.5,0.87,463.7,0.2,0.1,0.131
31,15.911349691727473,12011.0,0.36,6.2,5.6,0.16,0.265,0.459,3.2,0.331,0.152,0.086,0.32299999999999995,1295.6,51.8,0.86,540.8,0.2,0.2,0.227
32,17.869146004582912,10037.0,0.292,5.6,5.1,0.14,0.218,0.359,6.1,0.353,0.583,0.101,0.478,1260.7,42.6,0.77,514.7,0.2,0.2,0.174
33,27.089080010235552,9773.0,0.206,4.4,4.4,0.08,0.175,0.35200000000000004,7.5,0.28800000000000003,0.315,0.126,0.25,607.4,45.4,0.89,455.5,0.1,0.1,0.14
34,22.61124131062583,8733.0,0.211,4.7,4.5,0.09,0.194,0.336,6.6,0.305,0.535,0.135,0.23,697.3,51.7,0.86,422.8,0.1,0.1,0.129
35,25.691455436859545,11745.0,0.207,4.9,4.7,0.09,0.202,0.306,7.6,0.32,0.366,0.134,0.215,243.3,54.0,0.85,544.1,0.2,0.1,0.125
36,34.503671785597504,10309.0,0.191,4.5,4.5,0.11,0.168,0.337,5.9,0.28300000000000003,0.777,0.145,0.163,801.5,44.6,0.86,481.3,0.1,0.1,0.125
37,19.908662899088565,9785.0,0.223,5.0,4.8,0.1,0.214,0.325,7.4,0.331,0.217,0.121,0.455,329.6,49.4,0.84,514.9,0.2,0.1,0.134
38,27.937825306512536,8870.0,0.192,4.5,4.6,0.1,0.189,0.316,7.2,0.29600000000000004,0.627,0.136,0.282,382.5,32.0,0.87,436.6,0.1,0.1,0.116
39,28.567318435658564,11488.0,0.198,4.7,4.6,0.1,0.203,0.363,7.6,0.349,0.489,0.138,0.275,295.5,50.3,0.87,511.7,0.1,0.1,0.124
40,28.448041706747368,7146.0,0.217,4.5,4.5,0.08,0.203,0.295,6.1,0.232,0.627,0.162,0.281,519.5,23.1,0.85,385.4,0.1,0.1,0.096
41,28.501368876053252,7702.0,0.19,4.4,4.4,0.09,0.18600000000000005,0.335,7.7,0.316,0.528,0.146,0.261,248.7,37.2,0.88,386.0,0.1,0.1,0.108
42,18.622522521050428,13399.0,0.315,5.7,5.2,0.13,0.231,0.464,2.8,0.308,0.015,0.098,0.529,1188.2,55.4,0.86,617.9,0.2,0.2,0.192
43,17.833941604794983,11671.0,0.311,5.6,5.2,0.13,0.235,0.424,3.6,0.311,0.479,0.101,0.459,1222.3,30.4,0.84,530.5,0.2,0.2,0.182
44,35.74206220868994,7458.0,0.184,4.2,4.3,0.1,0.202,0.312,7.0,0.246,0.8220000000000001,0.135,0.251,534.0,30.9,0.87,360.2,0.1,0.1,0.106
45,20.65515276928185,11014.0,0.28800000000000003,5.5,5.1,0.13,0.22,0.413,4.9,0.34700000000000003,0.546,0.107,0.289,647.0,46.9,0.8,511.5,0.2,0.2,0.17600000000000002
