zip,county,res_ratio,bus_ratio,oth_ratio,tot_ratio
00624,72111,0.894460170,0.830769231,1.000000000,0.891598570
00616,72013,1.000000000,1.000000000,1.000000000,1.000000000
00617,72054,0.016772864,0.000000000,0.000000000,0.015683869
00652,72013,1.000000000,1.000000000,1.000000000,1.000000000
00641,72113,0.028354008,0.004451039,0.326530612,0.031015940
00669,72081,1.000000000,1.000000000,1.000000000,1.000000000
00670,72083,1.000000000,1.000000000,1.000000000,1.000000000
00660,72067,0.996155552,1.000000000,1.000000000,0.996355481
00683,72097,0.033794040,0.001131222,0.013513514,0.031441435
00704,72123,1.000000000,1.000000000,1.000000000,1.000000000
00735,72037,0.994894238,1.000000000,1.000000000,0.995111732
00730,72113,1.000000000,1.000000000,1.000000000,1.000000000
00728,72113,1.000000000,1.000000000,1.000000000,1.000000000
00729,72029,0.919395812,0.931696905,0.717741935,0.918533214
00745,72029,0.052204431,0.068452381,0.068965517,0.052831382
00739,72041,0.970390745,1.000000000,1.000000000,0.971928210
00772,72087,1.000000000,1.000000000,1.000000000,1.000000000
00766,72149,0.997949619,0.991525424,1.000000000,0.997648361
00794,72019,0.990097429,0.998019802,0.976470588,0.990512334
00919,72127,1.000000000,1.000000000,1.000000000,1.000000000
00920,72127,0.988132325,0.969372873,0.979381443,0.983606557
00921,72021,0.011290439,0.093333333,0.043126685,0.020583407
00957,72021,0.956385479,0.956386293,0.949324324,0.956256921
00969,72127,0.131713810,0.076709797,0.100401606,0.127598435
00976,72127,0.025408445,0.034161491,0.038194444,0.025879499
01430,25027,1.000000000,1.000000000,1.000000000,1.000000000
01475,25027,1.000000000,1.000000000,1.000000000,1.000000000
01560,25027,1.000000000,1.000000000,1.000000000,1.000000000
01721,25017,1.000000000,1.000000000,1.000000000,1.000000000
01778,25017,1.000000000,1.000000000,1.000000000,1.000000000
01821,25017,1.000000000,1.000000000,1.000000000,1.000000000
01844,25009,1.000000000,1.000000000,1.000000000,1.000000000
01851,25017,1.000000000,1.000000000,1.000000000,1.000000000
01852,25017,1.000000000,1.000000000,1.000000000,1.000000000
01862,25017,1.000000000,1.000000000,1.000000000,1.000000000
01945,25009,1.000000000,1.000000000,1.000000000,1.000000000
01938,25009,1.000000000,1.000000000,1.000000000,1.000000000
02026,25021,0.998950482,1.000000000,1.000000000,0.999080652
02054,25021,0.990424895,1.000000000,1.000000000,0.991356024
02081,25021,1.000000000,1.000000000,1.000000000,1.000000000
02111,25025,1.000000000,1.000000000,1.000000000,1.000000000
02126,25025,1.000000000,1.000000000,1.000000000,1.000000000
02134,25025,0.999541537,1.000000000,0.999108734,0.999540371
02143,25017,0.999661304,1.000000000,0.998905908,0.999638493
02150,25025,0.999433388,0.953897737,1.000000000,0.996139942
02170,25021,1.000000000,1.000000000,1.000000000,1.000000000
02191,25021,1.000000000,1.000000000,1.000000000,1.000000000
02186,25021,0.999602662,1.000000000,1.000000000,0.999627907
02339,25023,1.000000000,1.000000000,1.000000000,1.000000000
02347,25023,0.998873620,0.988023952,0.987500000,0.997939419
02368,25021,1.000000000,1.000000000,1.000000000,1.000000000
02467,25021,0.489353100,0.344217687,0.264462810,0.467245832
02476,25017,1.000000000,1.000000000,1.000000000,1.000000000
02532,25023,0.192350071,0.024590164,0.062893082,0.177714286
02584,25019,1.000000000,1.000000000,1.000000000,1.000000000
02638,25001,1.000000000,1.000000000,1.000000000,1.000000000
02667,25001,1.000000000,1.000000000,1.000000000,1.000000000
02646,25001,1.000000000,1.000000000,1.000000000,1.000000000
03279,33009,1.000000000,1.000000000,1.000000000,1.000000000
03447,33005,1.000000000,1.000000000,1.000000000,1.000000000
03235,33013,1.000000000,1.000000000,1.000000000,1.000000000
03226,33001,0.997920998,1.000000000,1.000000000,0.998000000
03233,33013,1.000000000,0.000000000,1.000000000,1.000000000
03223,33009,1.000000000,1.000000000,1.000000000,1.000000000
03243,33013,0.955602537,0.900000000,1.000000000,0.955102041
03108,33011,1.000000000,1.000000000,1.000000000,1.000000000
03084,33011,1.000000000,1.000000000,1.000000000,1.000000000
03054,33011,1.000000000,1.000000000,1.000000000,1.000000000
