Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Afghanistan,9575781.539133359,9375244.875480581,9343771.308673728,9485392.441544581,9631309.670182515,9784774.701684225,9979191.65934031,10193938.074810673,10441467.341395367,10726984.887920488,11028182.081847358,11358817.577780236,11700308.168958832,12037795.377976645,12340185.49194621,12593979.79440384,12809310.400596786,12982889.615253914,13101714.142505754,13145629.735687185,13101063.90155201,12961169.308738817,12769403.414537597,12529502.171873081,12288456.128726233,12112303.058863748,12012121.405166019,11992978.99653076,12078281.394132007,12284556.135429252,12236540.02092718,12811046.315722931,13584281.901964296,14554318.090482462,15569907.156823028,16488393.352936734,17298137.34370028,18092162.40608095,19161125.926525462,20549059.682164658
Albania,1628433.2081408128,1660763.510184832,1704151.3523766026,1756348.3943330422,1807184.7394204438,1860267.8310960084,1915842.337800309,1967864.1577484235,2019752.3752825186,2074052.427658476,2132466.7484967187,2192053.6246359646,2247500.313971415,2302000.8607925624,2355265.052643858,2406605.984115422,2456361.458170399,2504895.638046846,2555932.3659582436,2610157.2398808748,2667040.7379949987,2729062.249886401,2795292.4385640398,2861907.391463138,2924851.18514096,2983025.05784107,3036673.58488857,3085568.246814318,3128243.4711620137,3162038.1065439656,3246044.545993276,3259799.098528333,3255576.639650576,3247177.4171614572,3230423.0299042687,3213520.5860166773,3188876.5239264145,3159573.184147723,3122108.268096663,3073838.615521379
Algeria,11213447.200841311,11396059.175751615,11658591.883391935,11962934.508396287,12282286.920631368,12620734.865805317,12968064.676243175,13344348.221556295,13760471.748607833,14131623.467460144,14540009.050328184,14939514.83343463,15346972.463320691,15792866.957857866,16217384.73080476,16672393.844968457,17193276.882832248,17716234.975973684,18252378.803451378,18794913.189173568,19365747.801817197,19957099.194017638,20579877.4946325,21229484.752134312,21908160.446648587,22596125.83389022,23281518.41327067,23973669.431674916,24658256.85785665,25324542.108512122,25977945.030771185,26555377.857082535,27087814.3684596,27638317.093957443,28191025.41818129,28756852.75916626,29309651.011584062,29872374.4225923,30439598.534730244,30998344.768188287
American Samoa,20778.52524417707,20268.97982386213,20803.780546925773,21731.520955133412,22677.102913658877,23570.836202937746,24319.70609548605,25183.58318485155,26294.573828633394,26538.816291525945,27121.802141360808,27525.780484880714,27942.566423892902,28630.696052459345,28702.604233096397,29053.107469694616,30002.270697672197,30823.960216026564,31706.626451425647,32551.793363532095,33483.29396856767,34361.785435385,35332.719415312094,36383.72464085363,37667.1350963718,39160.07889950792,40762.712335484146,42523.35603680955,44293.716654664066,46042.915583298935,47301.47255182457,48513.94300453905,48551.270984969844,49569.22267607569,50591.19701907637,52447.63174237653,53587.15089244714,54963.24286552348,56443.94697175459,58003.85060393
Andorra,14486.684987674838,14612.068865606001,15167.023518128226,16062.307958654499,16937.945435694324,18037.535356489847,19367.42790749613,20593.381460143624,21847.17176855346,23185.74280779706,24672.17885106187,26097.483973390328,27195.962880137748,28205.098670647385,29193.986289023793,30182.550955110135,31219.702448150514,32311.831343097983,33584.855965744144,34960.57096270416,36359.29178813975,37884.971463945134,39560.79663225766,41278.327332010864,42981.38418446332,44717.04793677889,46515.23056181278,48363.15939527694,50216.789533947034,51972.81772431396,56188.39288583342,57654.83174117971,58977.001192267424,60159.19150804486,61234.76372527461,62290.53909373134,63344.07589287907,64349.90957077723,65104.333718756585,65624.63171299399
Angola,5550644.354118248,5796760.529888315,5938676.115179727,6008239.567236932,6091413.484410664,6185368.910084652,6283632.012268772,6395940.673706705,6504304.458832322,6649200.250802031,6785143.347749872,6932628.979645943,7097306.834369121,7266993.263705624,7478222.8000245,7699377.81039056,7913637.493646195,8151148.166332832,8398730.147424435,8663937.144760726,8948593.52588459,9253239.064045174,9564224.69255524,9889677.598515412,10223119.090386068,10553615.765765807,10878922.949908352,11197666.477925798,11519867.2159072,11848676.58755677,12219951.210730633,12592063.066611012,13034619.308265446,13429794.966540514,13839549.988852313,14217035.082689783,14650148.867323188,15081053.808189807,15515193.212190097,15952695.1755786
Antigua and Barbuda,52733.02047428017,56068.17036909802,57782.77264049236,59068.99551917502,60348.496056211006,61476.8613100049,62628.13610381965,63559.676776987326,63821.8215747276,65626.71569280647,66620.903734956,68103.50792674959,69748.88145821058,70728.87907922297,72506.6148253149,73629.58617316774,73260.86973207077,72919.41550978838,72439.67474389897,72127.7287025245,71811.48758394324,71575.2199890386,71284.46756808396,70865.31331737112,70083.37359304872,69266.13671747065,68575.87950777734,67792.61622338259,67100.95457916829,66735.41455034824,67251.58038104448,68620.68027209566,69971.30278204853,71073.46007453772,72452.49570823187,74016.63787337631,75788.38881353062,77386.56262609741,78992.26268081745,80588.03675508528
Arab World,90898736.883233,94588296.67823175,97855080.30504224,100674036.12755525,103635222.59046634,106654839.90382263,109613143.79734129,112744908.22569668,115969830.26707047,119122428.24523887,122381666.55923718,125705738.0350346,129247907.19153166,132998888.48994133,136886836.70663643,141065501.55955517,145528977.56998938,150195395.1748889,155026231.97623646,160032308.456312,165276962.36102003,170703630.72099546,176207110.57784408,181882841.3379233,187739659.67574406,193638732.2827205,199519396.66270572,205385652.40562123,211280196.2214582,217233587.20375806,223579754.80207598,229643174.67989558,235682329.18474674,241824500.87425643,247914672.1241929,254070756.16916555,260187821.90330923,266326935.61579472,272488659.8648973,278683492.5888136
Argentina,20640706.533112016,20963052.39187794,21268150.12481985,21590823.105157368,21919468.304403905,22255371.48653532,22593604.60253625,22936715.790616777,23272469.547906097,23660772.570266303,24034069.026764583,24422727.7428823,24815779.962505464,25199995.717856262,25622943.09009075,26037017.0021579,26430794.234213736,26835788.821771108,27246518.428112995,27670674.92863951,28103959.13900606,28552829.089198705,29012505.918716516,29476957.401012234,29941853.594141558,30406636.015078057,30874328.855887122,31342327.072959762,31809456.581353866,32274652.639002193,32742434.756752968,33193931.46994158,33637770.52477141,34075598.75605382,34513782.87718961,34955552.99077826,35398086.13922175,35835295.90199221,36269246.78244443,36694288.08227117
Armenia,1937787.668065241,1943492.6470446796,1985739.4678956852,2060834.3389668153,2132697.077902554,2199973.2810524018,2269038.1990442113,2333400.613218105,2397196.4792380244,2462654.131435296,2526947.449335663,2592708.1651255027,2656684.8362277136,2718919.988911143,2778542.8653251515,2833410.246425955,2885234.4064642475,2933616.6506611914,2982062.4611204253,3033027.331051043,3085788.72944898,3142076.231948009,3204986.7288562716,3266609.842224768,3321078.5821968825,3369897.1848997683,3414405.7125400216,3454505.9114610166,3485208.194198063,3503562.9746889235,3467372.058103314,3452853.7102647335,3424432.974136433,3382919.349911085,3333499.927116862,3277867.9706632406,3220029.3012883873,3160061.288768357,3093072.64365626,3013361.379116869
