id;label
0;"Aruba"
1;"Afghanistan"
2;"Angola"
3;"Albania"
4;"Andorra"
5;"Arab World"
6;"United Arab Emirates"
7;"Argentina"
8;"Armenia"
9;"American Samoa"
10;"Antigua and Barbuda"
11;"Australia"
12;"Austria"
13;"Azerbaijan"
14;"Burundi"
15;"Belgium"
16;"Benin"
17;"Burkina Faso"
18;"Bangladesh"
19;"Bulgaria"
20;"Bahrain"
21;"Bahamas, The"
22;"Bosnia and Herzegovina"
23;"Belarus"
24;"Belize"
25;"Bermuda"
26;"Bolivia"
27;"Brazil"
28;"Barbados"
29;"Brunei Darussalam"
30;"Bhutan"
31;"Botswana"
32;"Central African Republic"
33;"Canada"
34;"Central Europe and the Baltics"
35;"Switzerland"
36;"Channel Islands"
37;"Chile"
38;"China"
39;"Cote d'Ivoire"
40;"Cameroon"
41;"Congo, Dem. Rep."
42;"Congo, Rep."
43;"Colombia"
44;"Comoros"
45;"Cabo Verde"
46;"Costa Rica"
47;"Caribbean small states"
48;"Cuba"
49;"Curacao"
50;"Cayman Islands"
51;"Cyprus"
52;"Czech Republic"
53;"Germany"
54;"Djibouti"
55;"Dominica"
56;"Denmark"
57;"Dominican Republic"
58;"Algeria"
59;"East Asia & Pacific (excluding high income)"
60;"Early-demographic dividend"
61;"East Asia & Pacific"
62;"Europe & Central Asia (excluding high income)"
63;"Europe & Central Asia"
64;"Ecuador"
65;"Egypt, Arab Rep."
66;"Euro area"
67;"Spain"
68;"Estonia"
69;"Ethiopia"
70;"European Union"
71;"Fragile and conflict affected situations"
72;"Finland"
73;"Fiji"
74;"France"
75;"Faroe Islands"
76;"Micronesia, Fed. Sts."
77;"Gabon"
78;"United Kingdom"
79;"Georgia"
80;"Ghana"
81;"Gibraltar"
82;"Guinea"
83;"Gambia, The"
84;"Guinea-Bissau"
85;"Equatorial Guinea"
86;"Greece"
87;"Grenada"
88;"Greenland"
89;"Guatemala"
90;"Guam"
91;"Guyana"
92;"High income"
93;"Hong Kong SAR, China"
94;"Honduras"
95;"Heavily indebted poor countries (HIPC)"
96;"Croatia"
97;"Haiti"
98;"Hungary"
99;"IBRD only"
100;"IDA & IBRD total"
101;"IDA total"
102;"IDA blend"
103;"Indonesia"
104;"IDA only"
105;"Isle of Man"
106;"India"
107;"Ireland"
108;"Iran, Islamic Rep."
109;"Iraq"
110;"Iceland"
111;"Israel"
112;"Italy"
113;"Jamaica"
114;"Jordan"
115;"Japan"
116;"Kazakhstan"
117;"Kenya"
118;"Kyrgyz Republic"
119;"Cambodia"
120;"Kiribati"
121;"St. Kitts and Nevis"
122;"Korea, Rep."
123;"Latin America & Caribbean (excluding high income)"
124;"Lao PDR"
125;"Lebanon"
126;"Liberia"
127;"Libya"
128;"St. Lucia"
129;"Latin America & Caribbean"
130;"Least developed countries: UN classification"
131;"Low income"
132;"Liechtenstein"
133;"Sri Lanka"
134;"Lower middle income"
135;"Low & middle income"
136;"Lesotho"
137;"Late-demographic dividend"
138;"Lithuania"
139;"Luxembourg"
140;"Latvia"
141;"Macao SAR, China"
142;"St. Martin (French part)"
143;"Morocco"
144;"Monaco"
145;"Moldova"
146;"Madagascar"
147;"Maldives"
148;"Middle East & North Africa"
149;"Mexico"
150;"Marshall Islands"
151;"Middle income"
152;"Macedonia, FYR"
153;"Mali"
154;"Malta"
155;"Myanmar"
156;"Middle East & North Africa (excluding high income)"
157;"Montenegro"
158;"Mongolia"
159;"Northern Mariana Islands"
160;"Mozambique"
161;"Mauritania"
162;"Mauritius"
163;"Malawi"
164;"Malaysia"
165;"North America"
166;"Namibia"
167;"New Caledonia"
168;"Niger"
169;"Nigeria"
170;"Nicaragua"
171;"Netherlands"
172;"Norway"
173;"Nepal"
174;"Nauru"
175;"New Zealand"
176;"OECD members"
177;"Oman"
178;"Other small states"
179;"Pakistan"
180;"Panama"
181;"Peru"
182;"Philippines"
183;"Palau"
184;"Papua New Guinea"
185;"Poland"
186;"Pre-demographic dividend"
187;"Puerto Rico"
188;"Korea, Dem. People’s Rep."
189;"Portugal"
190;"Paraguay"
191;"Pacific island small states"
192;"Post-demographic dividend"
193;"French Polynesia"
194;"Qatar"
195;"Romania"
196;"Russian Federation"
197;"Rwanda"
198;"South Asia"
199;"Saudi Arabia"
200;"Sudan"
201;"Senegal"
202;"Singapore"
203;"Solomon Islands"
204;"Sierra Leone"
205;"El Salvador"
206;"San Marino"
207;"Somalia"
208;"Sub-Saharan Africa (excluding high income)"
209;"South Sudan"
210;"Sub-Saharan Africa"
211;"Small states"
212;"Sao Tome and Principe"
213;"Suriname"
214;"Slovak Republic"
215;"Slovenia"
216;"Sweden"
217;"Swaziland"
218;"Seychelles"
219;"Syrian Arab Republic"
220;"Turks and Caicos Islands"
221;"Chad"
222;"East Asia & Pacific (IDA & IBRD countries)"
223;"Europe & Central Asia (IDA & IBRD countries)"
224;"Togo"
225;"Thailand"
226;"Tajikistan"
227;"Turkmenistan"
228;"Latin America & the Caribbean (IDA & IBRD countries)"
229;"Timor-Leste"
