,Airport Code,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,Broad Phase of Flight,Safety_Index
0,0.0010961214165261383,0.01829679595278246,0.0,1.0,0.9365092748735244,0.013237774030354131,0.9558178752107925,0.1188026981450253,Moderately Unsafe
1,0.0003372681281618887,0.0012647554806070826,0.0,1.0,0.9365092748735244,0.1623946037099494,0.9558178752107925,0.25438448566610455,Moderately Unsafe
2,0.00042158516020236085,0.00042158516020236085,1.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Very Unsafe
3,0.0002529510961214165,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.04215851602023609,0.25438448566610455,Moderately Unsafe
4,0.0002529510961214165,0.17588532883642496,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Very Unsafe
5,8.431703204047218e-05,0.01829679595278246,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Moderately Unsafe
6,0.0008431703204047217,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.017959527824620573,Moderately Unsafe
7,0.000505902192242833,0.0002529510961214165,1.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Very Unsafe
8,0.00193929173693086,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Very Unsafe
9,0.00042158516020236085,0.17588532883642496,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Very Unsafe
10,8.431703204047218e-05,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Very Unsafe
11,8.431703204047218e-05,0.3472175379426644,0.0,1.0,0.9365092748735244,0.1623946037099494,0.9558178752107925,0.25438448566610455,Moderately Unsafe
12,0.00042158516020236085,0.17588532883642496,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.4323777403035413,Very Unsafe
13,0.0008431703204047217,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Very Unsafe
14,0.0003372681281618887,0.0002529510961214165,1.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Very Unsafe
15,0.0008431703204047217,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.027993254637436762,Moderately Unsafe
16,0.0002529510961214165,0.17588532883642496,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Moderately Unsafe
17,0.00042158516020236085,0.06526138279932546,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Moderately Unsafe
18,0.0003372681281618887,0.01829679595278246,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Moderately Unsafe
19,0.000505902192242833,0.17588532883642496,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.013743676222596965,Moderately Unsafe
20,0.00016863406408094435,8.431703204047218e-05,1.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.045868465430016866,Very Unsafe
21,0.0003372681281618887,0.3472175379426644,0.0,1.0,0.9365092748735244,0.1623946037099494,0.9558178752107925,0.25438448566610455,Moderately Unsafe
22,0.0002529510961214165,0.3472175379426644,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Very Unsafe
23,8.431703204047218e-05,8.431703204047218e-05,1.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Very Unsafe
24,8.431703204047218e-05,0.005396290050590219,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.1188026981450253,Moderately Unsafe
25,0.016188870151770656,0.003709949409780776,0.0,1.0,0.04258010118043845,0.02284991568296796,0.9558178752107925,0.002529510961214165,Moderately Unsafe
26,0.00042158516020236085,0.0012647554806070826,1.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.4323777403035413,Most Unsafe
27,0.0007588532883642496,0.17588532883642496,0.0,1.0,0.9365092748735244,0.1623946037099494,0.9558178752107925,0.017959527824620573,Moderately Unsafe
28,0.00016863406408094435,0.3472175379426644,0.0,1.0,0.9365092748735244,0.010792580101180439,0.9558178752107925,0.045868465430016866,Moderately Unsafe
29,0.00016863406408094435,0.17588532883642496,0.0,1.0,0.9365092748735244,0.6833895446880269,0.9558178752107925,0.25438448566610455,Very Unsafe
