ZIP,Avg. Pct Diabetes Adults13,Avg. Pct Obese Adults13
501,8.8,23.1
1001,11.1,27.5
1002,7.55,19.95
1003,6.8,18.9
1004,6.8,18.9
1005,9.7,27
1007,6.8,18.9
1008,10.4,25.6
1009,11.1,27.5
1010,10.4,27.25
1011,9.2,23.36666667
1012,6.8,18.9
1013,11.1,27.5
1014,11.1,27.5
1020,11.1,27.5
1021,11.1,27.5
1022,11.1,27.5
1026,8.25,21.3
1027,6.8,18.9
1028,11.1,27.5
1029,9.7,23.7
1030,11.1,27.5
1031,9.7,27
1032,6.8,18.9
1033,8.95,23.2
1034,11.1,27.5
1035,6.8,18.9
1036,11.1,27.5
1037,9.7,27
1038,6.8,18.9
1039,7.55,19.95
1040,11.1,27.5
1041,11.1,27.5
1050,8.95,23.2
1053,6.8,18.9
1054,8.3,21
1056,11.1,27.5
1057,11.1,27.5
1059,6.8,18.9
1060,6.8,18.9
1061,6.8,18.9
1062,6.8,18.9
1063,6.8,18.9
1066,6.8,18.9
1068,9.7,27
1069,8.95,23.2
1070,8.266666667,21.2
1071,11.1,27.5
1072,8.3,21
1073,8.95,23.2
1074,9.7,27
1075,6.8,18.9
1077,11.1,27.5
1079,11.1,27.5
1080,11.1,27.5
1081,11.1,27.5
1082,9.2,24.46666667
1083,9.7,27
1084,6.8,18.9
1085,11.1,27.5
1088,6.8,18.9
1089,11.1,27.5
1090,11.1,27.5
1092,9.7,27
1093,8.3,21
1094,9.7,27
1095,11.1,27.5
1096,7.55,19.95
1098,6.8,18.9
1101,11.1,27.5
1103,11.1,27.5
1104,11.1,27.5
1105,11.1,27.5
1106,11.1,27.5
1107,11.1,27.5
1108,11.1,27.5
1109,11.1,27.5
1111,11.1,27.5
1115,11.1,27.5
1116,11.1,27.5
1118,11.1,27.5
1119,11.1,27.5
1128,11.1,27.5
1129,11.1,27.5
1138,11.1,27.5
1139,11.1,27.5
1144,11.1,27.5
1151,11.1,27.5
1152,11.1,27.5
1199,11.1,27.5
1201,9.7,23.7
1202,9.7,23.7
1220,9.7,23.7
1222,9.7,23.7
1223,10.4,25.6
1224,9.7,23.7
1225,9.7,23.7
1226,9.7,23.7
1227,9.7,23.7
1229,9.7,23.7
1230,9.7,23.7
1235,8.25,21.3
1236,9.7,23.7
1237,9.7,23.7
1238,9.7,23.7
1240,9.7,23.7
1242,9.7,23.7
1243,6.8,18.9
1244,9.7,23.7
1245,9.7,23.7
1247,9,22.35
1252,9.7,23.7
1253,9.7,23.7
1254,9.7,23.7
1255,9.7,23.7
1256,9.7,23.7
1257,9.7,23.7
1258,9.7,23.7
1259,9.7,23.7
1260,9.7,23.7
1262,9.7,23.7
1263,9.7,23.7
1264,9.7,23.7
1266,9.7,23.7
1267,9.7,23.7
1270,9.7,23.7
1301,8.3,21
1302,8.3,21
1330,7.55,19.95
1331,9,24
1337,8.3,21
1338,8.3,21
1339,8.3,21
1340,8.3,21
1341,8.3,21
1342,8.3,21
1343,9.7,23.7
1344,8.3,21
1346,8.3,21
1347,8.3,21
1349,8.3,21
1350,8.3,21
1351,8.3,21
1354,8.3,21
1355,8.3,21
1360,8.3,21
1364,9,24
1366,9.7,27
1367,9,22.35
1368,9.7,27
1370,8.3,21
1373,8.3,21
1375,8.3,21
1376,8.3,21
1378,8.3,21
1379,8.3,21
1380,8.3,21
1420,9.7,27
1430,9.7,27
1431,9,24.8
1432,8.3,22.6
1434,9,24.8
1436,9.7,27
1438,9.7,27
1440,9.7,27
1441,9.7,27
1450,8.3,22.6
1451,9,24.8
1452,9.7,27
1453,9.7,27
1460,8.3,22.6
1462,9,24.8
1463,8.3,22.6
1464,8.3,22.6
1467,9.7,27
1468,9.7,27
1469,8.3,22.6
1472,8.3,22.6
1473,9.7,27
1474,8.3,22.6
1475,9.7,27
1501,9.7,27
1503,9.7,27
1504,9.15,23.75
1505,9.7,27
1506,9.7,27
1507,9.7,27
1508,9.7,27
1509,9.7,27
1510,9.7,27
1515,9.7,27
1516,9.7,27
1518,9.7,27
1519,9.7,27
1520,9.7,27
1521,11.1,27.5
1522,9.7,27
1523,9.7,27
1524,9.7,27
1525,9.7,27
1526,9.7,27
1527,9.7,27
1529,9.7,27
1531,9.7,27
1532,9,24.8
1534,9.7,27
1535,9.7,27
1536,9.7,27
1537,9.7,27
1538,9.7,27
1540,9.7,27
1541,9.7,27
1542,9.7,27
1543,9.7,27
1545,9.7,27
1546,9.7,27
1550,9.7,27
1560,9.7,27
1561,9.7,27
1562,9.7,27
1564,9.7,27
1566,9.7,27
1568,9.7,27
1569,9.7,27
1570,9.7,27
1571,9.7,27
1581,9.7,27
1583,9.7,27
1585,9.7,27
1586,9.7,27
1588,9.7,27
1590,9.7,27
1601,9.7,27
1602,9.7,27
1603,9.7,27
1604,9.7,27
1605,9.7,27
1606,9.7,27
1607,9.7,27
1608,9.7,27
1609,9.7,27
1610,9.7,27
1611,9.7,27
1612,9.7,27
1613,9.7,27
1614,9.7,27
1653,9.7,27
1655,9.7,27
1701,8.3,22.6
1702,8.3,22.6
1703,8.3,22.6
1704,8.3,22.6
1718,8.3,22.6
1719,8.3,22.6
1720,8.3,22.6
1721,8.3,22.6
1730,8.3,22.6
1731,8.3,22.6
1740,9.7,27
1741,8.3,22.6
1742,8.3,22.6
1745,9.7,27
1746,8.3,22.6
1747,9.7,27
1748,8.3,22.6
1749,9,24.8
1752,9,24.8
1754,8.3,22.6
1756,9.15,23.75
1757,9.7,27
1760,8.45,21.55
1770,8.3,22.6
1772,9.7,27
1773,8.3,22.6
1775,8.3,22.6
1776,8.3,22.6
1778,8.3,22.6
1784,8.3,22.6
1801,8.3,22.6
1803,8.3,22.6
1805,8.3,22.6
1810,9.3,24.05
1812,10.3,25.5
1821,8.3,22.6
1822,8.3,22.6
1824,8.3,22.6
1826,9.3,24.05
1827,8.3,22.6
1830,10.3,25.5
1831,10.3,25.5
1832,10.3,25.5
1833,10.3,25.5
1834,10.3,25.5
1835,10.3,25.5
1840,10.3,25.5
1841,10.3,25.5
1842,10.3,25.5
1843,10.3,25.5
1844,10.3,25.5
1845,10.3,25.5
1850,8.3,22.6
1851,8.3,22.6
1852,8.3,22.6
1853,8.3,22.6
1854,8.3,22.6
1860,10.3,25.5
1862,8.3,22.6
1863,8.3,22.6
1864,8.3,22.6
1865,8.3,22.6
1866,8.3,22.6
1867,8.3,22.6
1876,9.3,24.05
1879,8.3,22.6
1880,9.3,24.05
1885,10.3,25.5
1886,8.3,22.6
1887,8.3,22.6
1888,8.3,22.6
1889,8.3,22.6
1890,8.3,22.6
1899,10.3,25.5
1901,10.3,25.5
1902,10.3,25.5
1903,10.3,25.5
1904,10.3,25.5
1905,10.3,25.5
1906,8.7,23.13333333
1907,10.3,25.5
1908,10.3,25.5
1910,10.3,25.5
1913,10.3,25.5
1915,10.3,25.5
1921,10.3,25.5
1922,10.3,25.5
1923,10.3,25.5
1929,10.3,25.5
1930,10.3,25.5
1931,10.3,25.5
1936,10.3,25.5
1937,10.3,25.5
1938,10.3,25.5
1940,10.3,25.5
1944,10.3,25.5
1945,10.3,25.5
1949,10.3,25.5
1950,10.3,25.5
1951,10.3,25.5
1952,10.3,25.5
1960,10.3,25.5
1961,10.3,25.5
1965,10.3,25.5
1966,10.3,25.5
1969,10.3,25.5
1970,10.3,25.5
1971,10.3,25.5
1982,10.3,25.5
1983,10.3,25.5
1984,10.3,25.5
1985,10.3,25.5
2018,10.7,27.8
2019,8.6,20.5
2020,10.7,27.8
2021,8.6,20.5
2025,9.65,24.15
2026,8.05,20.9
2027,8.6,20.5
2030,8.45,21.55
2032,8.6,20.5
2035,8.6,20.5
2038,8.6,20.5
2041,10.7,27.8
2043,9.65,24.15
2044,10.7,27.8
2045,10.7,27.8
2047,10.7,27.8
2048,9.85,24.4
2050,10.7,27.8
2051,10.7,27.8
2052,8.6,20.5
2053,8.6,20.5
2054,8.45,21.55
2056,8.6,20.5
2059,10.7,27.8
2060,10.7,27.8
2061,10.7,27.8
2062,8.6,20.5
2065,10.7,27.8
2066,9.65,24.15
2067,8.6,20.5
2070,8.6,20.5
2071,8.6,20.5
2072,8.6,20.5
2081,8.6,20.5
2090,8.6,20.5
2093,8.6,20.5
2108,7.5,21.3
2109,7.5,21.3
2110,7.5,21.3
2111,7.5,21.3
2112,7.5,21.3
2113,7.5,21.3
2114,7.5,21.3
2115,7.5,21.3
2116,7.5,21.3
2117,7.5,21.3
2118,7.5,21.3
2119,7.5,21.3
2120,7.5,21.3
2121,7.5,21.3
2122,7.5,21.3
2123,7.5,21.3
2124,7.5,21.3
2125,7.5,21.3
2126,7.5,21.3
2127,7.5,21.3
2128,7.5,21.3
2129,7.5,21.3
2130,8.05,20.9
2131,7.5,21.3
2132,7.5,21.3
2133,7.5,21.3
2134,7.5,21.3
2135,8.05,20.9
2136,8.05,20.9
2137,7.5,21.3
2138,8.3,22.6
2139,8.3,22.6
2140,8.3,22.6
2141,8.3,22.6
2142,8.3,22.6
2143,8.3,22.6
2144,8.3,22.6
2145,8.3,22.6
2148,7.9,21.95
2149,8.3,22.6
2150,7.9,21.95
2151,7.9,21.95
2152,7.5,21.3
2155,8.3,22.6
2163,7.5,21.3
2169,8.6,20.5
2170,8.6,20.5
2171,8.6,20.5
2176,8.3,22.6
2180,8.3,22.6
2184,8.6,20.5
2185,8.6,20.5
2186,8.05,20.9
2188,8.6,20.5
2189,9.65,24.15
2190,8.6,20.5
2191,8.6,20.5
2196,7.5,21.3
2199,7.5,21.3
2201,7.5,21.3
2203,7.5,21.3
2205,7.5,21.3
2210,7.5,21.3
2215,8.05,20.9
2217,7.5,21.3
2222,7.5,21.3
2238,8.3,22.6
2269,8.6,20.5
2301,10.7,27.8
2302,9.65,24.15
2303,10.7,27.8
2304,10.7,27.8
2305,10.7,27.8
2322,8.6,20.5
2324,10.9,28.05
2325,10.7,27.8
2327,10.7,27.8
2330,10.7,27.8
2331,10.7,27.8
2332,10.7,27.8
2333,10.7,27.8
2334,11.1,28.3
2337,10.7,27.8
2338,10.7,27.8
2339,10.7,27.8
2341,10.7,27.8
2343,8.6,20.5
2344,10.7,27.8
2345,10.7,27.8
2346,10.7,27.8
2347,10.9,28.05
2348,10.7,27.8
2349,10.7,27.8
2350,10.7,27.8
2351,10.7,27.8
2355,10.7,27.8
2356,9.85,24.4
2357,11.1,28.3
2358,10.7,27.8
2359,10.7,27.8
2360,9.65,23.85
2361,10.7,27.8
2362,10.7,27.8
2364,10.7,27.8
2366,10.7,27.8
2367,10.7,27.8
2368,8.6,20.5
2370,10.7,27.8
2375,10.9,28.05
2379,10.7,27.8
2381,10.7,27.8
2382,10.7,27.8
2420,8.3,22.6
2421,8.3,22.6
2445,8.05,20.9
2446,8.05,20.9
2447,8.6,20.5
2451,8.3,22.6
2452,8.3,22.6
2453,8.3,22.6
2454,8.3,22.6
2455,8.3,22.6
2458,8.3,22.6
2459,8.3,22.6
2460,8.3,22.6
2461,8.3,22.6
2462,8.3,22.6
2464,8.3,22.6
2465,8.3,22.6
2466,8.3,22.6
2467,8.133333333,21.46666667
2468,8.3,22.6
2471,8.3,22.6
2472,8.3,22.6
2474,8.3,22.6
2476,8.3,22.6
2477,8.3,22.6
2478,8.3,22.6
2481,8.6,20.5
2482,8.6,20.5
2492,8.6,20.5
2493,8.3,22.6
2494,8.6,20.5
2532,9.65,23.85
2534,8.6,19.9
2535,8,22
2536,8.6,19.9
2537,8.6,19.9
2538,10.7,27.8
2539,8,22
2540,8.6,19.9
2541,8.6,19.9
2542,8.6,19.9
2543,8.6,19.9
2552,8,22
2553,8.6,19.9
2554,8.1,20
2556,8.6,19.9
2557,8,22
2558,10.7,27.8
2559,8.6,19.9
2561,8.6,19.9
2562,8.6,19.9
2563,8.6,19.9
2564,8.1,20
2568,8,22
2571,10.7,27.8
2574,8.6,19.9
2575,8,22
2576,10.7,27.8
2584,8.1,20
2601,8.6,19.9
2630,8.6,19.9
2631,8.6,19.9
2632,8.6,19.9
2633,8.6,19.9
2634,8.6,19.9
2635,8.6,19.9
2637,8.6,19.9
2638,8.6,19.9
2639,8.6,19.9
2641,8.6,19.9
2642,8.6,19.9
2643,8.6,19.9
2644,8.6,19.9
2645,8.6,19.9
2646,8.6,19.9
2647,8.6,19.9
2648,8.6,19.9
2649,8.6,19.9
2650,8.6,19.9
2651,8.6,19.9
2652,8.6,19.9
2653,8.6,19.9
2655,8.6,19.9
2657,8.6,19.9
2659,8.6,19.9
2660,8.6,19.9
2661,8.6,19.9
2662,8.6,19.9
2663,8.6,19.9
2664,8.6,19.9
2666,8.6,19.9
2667,8.6,19.9
2668,8.6,19.9
2669,8.6,19.9
2670,8.6,19.9
2671,8.6,19.9
2672,8.6,19.9
2673,8.6,19.9
2675,8.6,19.9
2702,11.1,28.3
2703,11.1,28.3
2712,11.1,28.3
2713,8,22
2715,11.1,28.3
2717,11.1,28.3
2718,10.9,28.05
2719,11.1,28.3
2720,11.1,28.3
2721,11.1,28.3
2722,11.1,28.3
2723,11.1,28.3
2724,11.1,28.3
2725,11.1,28.3
2726,11.1,28.3
2738,10.7,27.8
2739,10.7,27.8
2740,11.1,28.3
2741,11.1,28.3
2742,11.1,28.3
2743,11.1,28.3
2744,11.1,28.3
2745,11.1,28.3
2746,11.1,28.3
2747,11.1,28.3
2748,11.1,28.3
2760,11.1,28.3
2761,11.1,28.3
2762,8.6,20.5
2763,11.1,28.3
2764,11.1,28.3
2766,11.1,28.3
2767,10.9,28.05
2768,11.1,28.3
2769,11.1,28.3
2770,10.9,28.05
2771,11.1,28.3
2777,11.1,28.3
2779,10.9,28.05
2780,11.1,28.3
2790,11.1,28.3
2791,11.1,28.3
2801,8.5,23.1
2802,9.9,28.2
2804,9.1,23.9
2806,8.8,22.9
2807,9.1,23.9
2808,9.1,23.9
2809,8.8,22.9
2812,9.1,23.9
2813,9.1,23.9
2814,9.9,28.2
2815,9.9,28.2
2816,9.9,28.5
2817,9.9,28.8
2818,9.9,28.8
2822,9.1,23.9
2823,9.9,28.2
2824,9.9,28.2
2825,9.9,28.2
2826,9.9,28.2
2827,9.9,28.8
2828,9.9,28.2
2829,9.9,28.2
2830,9.9,28.2
2831,9.9,28.5
2832,9.1,23.9
2833,9.1,23.9
2835,8.5,23.1
2836,9.1,23.9
2837,8.5,23.1
2838,9.9,28.2
2839,9.9,28.2
2840,8.5,23.1
2841,8.5,23.1
2842,8.5,23.1
2852,9.5,26.35
2857,9.9,28.2
2858,9.9,28.2
2859,9.9,28.2
2860,9.9,28.2
2861,9.9,28.2
2862,9.9,28.2
2863,9.9,28.2
2864,9.9,28.2
2865,9.9,28.2
2871,8.5,23.1
2872,8.5,23.1
2873,9.1,23.9
2874,9.1,23.9
2875,9.1,23.9
2876,9.9,28.2
2877,9.1,23.9
2878,8.5,23.1
2879,9.1,23.9
2880,9.1,23.9
2881,9.1,23.9
2882,9.1,23.9
2883,9.1,23.9
2885,8.8,22.9
2886,9.9,28.8
2887,9.9,28.8
2888,9.9,28.8
2889,9.9,28.8
2891,9.1,23.9
2892,9.1,23.9
2893,9.9,28.8
2894,9.1,23.9
2895,9.9,28.2
2896,9.9,28.2
2898,9.1,23.9
2901,9.9,28.2
2902,9.9,28.2
2903,9.9,28.2
2904,9.9,28.2
2905,9.9,28.2
2906,9.9,28.2
2907,9.9,28.2
2908,9.9,28.2
2909,9.9,28.2
2910,9.9,28.2
2911,9.9,28.2
2912,9.9,28.2
2914,9.9,28.2
2915,9.35,25.55
2916,9.9,28.2
2917,9.9,28.2
2918,9.9,28.2
2919,9.9,28.2
2920,9.9,28.5
2921,9.9,28.2
2940,9.9,28.2
3031,9.1,28.5
3032,9.1,26.1
3033,9.1,28.5
3034,9.1,27.8
3036,9.1,26.1
3037,9.1,26.1
3038,9.1,26.1
3041,9.1,26.1
3042,9.8,27.6
3043,9.1,28.5
3044,9.1,26.1
3045,9.1,29
3046,9.1,29.5
3047,9.1,28.5
3048,9.1,28.5
3049,9.1,28.5
3051,9.1,28.5
3052,9.1,28.5
3053,9.1,26.1
3054,9.1,28.5
3055,9.1,28.5
3057,9.1,28.5
3060,9.1,28.5
3061,9.1,28.5
3062,9.1,28.5
3063,9.1,28.5
3064,9.1,28.5
3070,9.1,28.5
3071,9.1,28.5
