STATEFIPS,STATE,ZIPCODE,N1,A00100,Avg
1,AL,0,2016530,114357010,56.70979852
2,AK,0,344240,23714276,68.88878689
4,AZ,0,2896580,182297513,62.93543179
5,AR,0,1202960,68850206,57.23399448
6,CA,0,17532390,1430203117,81.5749089
8,CO,0,2608510,197161224,75.58384825
9,CT,0,1732540,163706722,94.48943286
10,DE,0,450800,29672594,65.82208075
11,DC,0,338780,32372207,95.55524824
12,FL,0,9498110,611444395,64.37537521
13,GA,0,4373570,273707714,62.58221865
15,HI,0,673030,43372886,64.44420902
16,ID,0,725580,42928504,59.16439814
17,IL,0,6026670,442695275,73.45603376
18,IN,0,3066230,178147618,58.09988748
19,IA,0,1427270,89359473,62.6086676
20,KS,0,1304140,83640366,64.13449936
21,KY,0,1880690,104919933,55.78799962
22,LA,0,1941000,114800201,59.14487429
23,ME,0,641610,37272261,58.0917707
24,MD,0,2919490,226095983,77.44365728
25,MA,0,3371710,303757770,90.09012341
26,MI,0,4657050,288101196,61.86345347
27,MN,0,2705160,197458143,72.99314754
28,MS,0,1213370,60512450,49.87139125
29,MO,0,2739510,166572993,60.80393684
30,MT,0,489380,28263619,57.75393151
31,NE,0,883730,56176195,63.56714721
32,NV,0,1354210,88975143,65.7026185
33,NH,0,690300,51366858,74.41236854
34,NJ,0,4331690,374540933,86.46531331
35,NM,0,891690,47233985,52.97130729
36,NY,0,9468070,784411434,82.84808139
37,NC,0,4451840,273038121,61.33152157
38,ND,0,353890,24055354,67.9740993
39,OH,0,5515690,328246083,59.51133639
40,OK,0,1588900,93563022,58.88540626
41,OR,0,1868760,124554095,66.65066408
42,PA,0,6116230,406872984,66.52349307
44,RI,0,523620,34276116,65.45990604
45,SC,0,2174610,126332924,58.09451994
46,SD,0,407530,25509936,62.59646161
47,TN,0,2950780,175584158,59.50432021
48,TX,0,11950780,792007073,66.27241678
49,UT,0,1272390,85403413,67.12046857
50,VT,0,319830,19325476,60.42421286
51,VA,0,3865950,294857456,76.27037494
53,WA,0,3442130,272627679,79.20319076
54,WV,0,756950,38399358,50.72905476
55,WI,0,2805450,178612876,63.66639078
56,WY,0,263870,18862960,71.48580741
25,MA,1001,8980,506318,56.38285078
25,MA,1002,9490,799175,84.21232877
25,MA,1003,170,2435,14.32352941
25,MA,1005,2370,137832,58.15696203
25,MA,1007,7580,556668,73.43905013
25,MA,1008,660,42848,64.92121212
25,MA,1009,650,30583,47.05076923
25,MA,1010,1880,133878,71.21170213
25,MA,1011,650,34065,52.40769231
25,MA,1012,350,25387,72.53428571
25,MA,1013,10550,431212,40.87317536
25,MA,1020,15170,719197,47.40916282
25,MA,1022,1150,51459,44.74695652
25,MA,1026,490,26049,53.16122449
25,MA,1027,9840,572085,58.13871951
25,MA,1028,8250,721434,87.44654545
25,MA,1029,320,25800,80.625
25,MA,1030,6000,387944,64.65733333
25,MA,1031,500,23386,46.772
25,MA,1032,260,15460,59.46153846
25,MA,1033,3230,214836,66.5126935
25,MA,1034,1040,72283,69.50288462
25,MA,1035,2780,196345,70.62769784
25,MA,1036,2680,229977,85.81231343
25,MA,1037,390,27717,71.06923077
25,MA,1038,1300,95466,73.43538462
25,MA,1039,780,56159,71.99871795
25,MA,1040,16540,711300,43.00483676
25,MA,1050,1290,74556,57.79534884
25,MA,1053,880,61786,70.21136364
25,MA,1054,960,85541,89.10520833
25,MA,1056,10400,626865,60.27548077
25,MA,1057,4220,268626,63.65545024
25,MA,1060,7360,556752,75.64565217
25,MA,1062,5690,434465,76.35588752
25,MA,1066,200,11942,59.71
25,MA,1068,970,69789,71.94742268
25,MA,1069,4100,236519,57.68756098
25,MA,1070,310,14824,47.81935484
25,MA,1071,800,45303,56.62875
25,MA,1072,760,50099,65.91973684
25,MA,1073,3280,259151,79.00945122
25,MA,1074,270,10544,39.05185185
25,MA,1075,8570,605985,70.71003501
25,MA,1077,4990,390093,78.1749499
25,MA,1079,420,19377,46.13571429
25,MA,1080,1180,50452,42.7559322
25,MA,1081,880,46520,52.86363636
25,MA,1082,5010,261963,52.28802395
25,MA,1083,1450,73116,50.42482759
25,MA,1085,18950,1175640,62.03905013
25,MA,1086,320,18877,58.990625
25,MA,1088,330,18291,55.42727273
25,MA,1089,13980,824305,58.96316166
25,MA,1092,570,28295,49.64035088
25,MA,1093,400,31987,79.9675
25,MA,1094,150,8351,55.67333333
25,MA,1095,7290,701385,96.21193416
25,MA,1096,1280,94492,73.821875
25,MA,1098,620,40132,64.72903226
