,quality
0,6.373481870045339
1,6.0768107585498115
2,5.865935253600128
3,5.802553282320787
4,5.645545300299489
5,6.467176358808985
6,5.411603335032709
7,5.496213663226854
8,5.089010984980604
9,5.774774653678946
10,5.794579954738367
11,6.22677057409291
12,5.591461252438876
13,6.203712763875103
14,5.243775815722387
15,5.639018534028793
16,5.502442602289136
17,6.636901297853939
18,5.327932915894564
19,5.995370332998391
20,6.668963256761089
21,6.878214166595853
22,6.478685954125382
23,6.92247247382528
24,5.319092981563045
25,4.975039126671788
26,5.7384620745392
27,5.423357383627803
28,6.176006345603241
29,5.565279280290042
30,6.666351107755133
31,5.378919037127304
32,5.871653767348448
33,5.662356610354834
34,6.757668035584771
35,5.5314121191808
36,5.306911671912417
37,5.534539260156066
38,6.195105596020682
39,5.47586004971626
40,5.908161627190822
41,5.405363375406864
42,6.00568625326747
43,5.33136497068196
44,5.6808112188111295
45,6.459840014310345
46,5.709448888854098
47,5.754872641255673
48,6.345923278662042
49,5.518516962698129
50,5.3591588568042425
51,6.067806402544193
52,5.198033417637987
53,6.842058523299812
54,3.769281661512423
55,6.190623972742969
56,5.465480925939687
57,6.039652578945436
58,5.519854811578313
59,5.598141088379236
60,5.997344775310637
61,6.069615676415509
62,6.282611042702598
63,6.174108775146237
64,6.064704477948823
65,5.607250788115522
66,6.252408968242662
67,6.370227322800844
68,5.951652344961161
69,6.976445281804274
70,5.702901126906312
71,5.6179030708323126
72,6.638432551665318
73,5.656917362172862
74,5.26024900384914
75,5.985769005015669
76,5.365483623536534
77,5.750124969302561
78,5.4195547084732425
79,5.11185436932135
80,5.214181334436603
81,5.984798040252201
82,5.742037386438767
83,5.631852875169358
84,6.768519078649007
85,5.717988710230088
86,6.44342927698483
87,5.833463129792477
88,5.211903526782066
89,6.224869009637587
90,5.516682016885596
91,5.578203185358262
92,5.817048862831314
93,5.269275145231063
94,6.0669950222532805
95,5.53492030348508
96,6.110592414891357
97,5.477742711094578
98,6.40298138974515
99,4.997458892285749
100,5.7277971273929325
101,5.151007863115865
102,4.942151186354124
103,6.2638361762117825
104,6.239772979775012
105,5.937510616124285
106,5.907076968392687
107,5.613907398514783
108,5.581662173807587
109,5.485654607764161
110,6.901814235629757
111,5.529606377844573
112,5.77544564764878
113,5.639104792319557
114,5.556317646926686
115,6.087952578594553
116,6.118431673099423
117,5.936174082209362
118,5.556896383367132
119,5.6179030708323126
120,6.286947662002973
121,6.5546507547143165
122,5.779742913653877
123,6.566463801115958
124,5.058149032522607
125,5.559252317105148
126,6.053749325001547
127,6.192382445628255
128,5.191528407816321
129,6.71332929575297
130,6.142414773401839
131,5.954959521265522
132,5.720861864845887
133,6.378446614730592
134,5.8482249939114865
135,6.4363355907727
136,6.220503637637449
137,5.488812195208197
138,6.041670437509623
139,5.29320663153365
140,5.4127688558360205
141,6.106800687588134
142,5.8569824774278345
143,5.240879484102777
144,6.4022169838031004
145,6.252976462105721
146,6.45499924379655
147,6.198558392894455
148,6.679570667766313
149,5.903729919354134
150,6.830714396018607
151,5.764726842455104
152,5.552788170526384
153,5.984408602076229
154,5.639823514189203
155,6.299009914614089
156,6.306642640387736
157,5.440687609916267
158,5.395167678608743
159,5.928710453861044
160,6.165350272770866
161,6.03972251331632
162,5.483878265586924
163,6.168908024170577
164,4.8851929660416715
165,6.1572494963746465
166,6.746816766466878
167,5.342973372100175
168,5.093145396177647
169,5.489233594491367
170,5.6570602884825405
171,6.117557439624164
172,5.5367062879202535
173,5.345395423475054
174,5.673132647857727
175,6.59411552257464
176,5.510044669376384
177,6.297877353374332
178,5.7612383867229084
179,5.6282523003274605
180,5.8333903436587775
181,5.377396739502984
182,5.970092811527621
183,5.839403895049486
184,5.636431433281956
185,5.593081501467225
186,6.190623972742969
187,5.335334819679048
188,5.137158014298876
189,5.797143848698141
190,6.3434132971964345
191,5.685583017888177
192,6.583797600862653
193,6.238084887979852
194,5.512180384188497
195,5.663518545943418
196,5.261422135283254
197,5.231406900442664
198,6.292011980858007
199,5.635979014949157
200,5.1785539894045485
201,5.603346530485538
202,5.319092981563045
203,6.333399699782177
204,5.7219996071753485
205,5.63442735942516
206,5.844026955719187
207,5.931137542962517
208,5.062081228841691
209,6.432654239865684
210,5.208590046419914
211,6.107957124811662
212,5.499250550425785
213,6.4607082649511085
214,6.2619908347681985
215,5.669231946719407
216,5.256691390140247
217,5.623881972958287
218,6.299946442167766
219,6.347978650915337
220,5.58388512705767
221,6.079688546604672
222,5.5448084937690965
223,5.567570236798133
224,6.09676936113334
225,6.204588864379502
226,5.8470693995371334
227,5.173322970559553
228,6.248907317236956
229,5.6148516128060635
230,6.027536176794882
231,5.624494430220949
232,4.777408294731316
233,6.144036583420814
234,6.183939215782516
235,5.8808453856360074
236,5.7661874384301655
237,6.240555782401401
238,5.780666722619088
239,5.404749329096546
240,5.950506077483681
241,4.935202786782696
242,5.490209467683343
243,5.2524393980121715
244,5.476315608862137
245,5.189012178851215
246,6.162243761341415
247,6.161028360236884
248,5.945270405328216
249,5.6366348088299105
250,5.639113333364435
251,5.250520035958232
252,6.55668993550691
253,6.332553737627393
254,5.188837569787836
255,6.006218139721426
256,6.03449044377561
257,5.1640608008372055
258,6.419481792128977
259,5.299786155649258
260,6.331634409807975
261,5.9497448872689915
262,5.856016342029733
263,5.397115950885791
264,5.993582773410793
265,6.1594100180045075
266,5.163336095036925
267,6.093551597420884
268,5.663214971698665
269,6.2409939745958525
270,6.519519370192427
271,6.022633344212636
272,6.149717532563443
273,6.71011129679934
274,5.987253363477805
275,6.068527273404214
276,5.9074130281692305
277,6.297787150677351
