FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,MEDHHINC15
1001,11.4,13.0,31.5,34.1,56580.0
1003,9.8,10.4,26.2,27.4,52387.0
1005,13.6,18.4,37.6,44.4,31433.0
1007,11.1,14.8,32.3,40.3,40767.0
1009,11.4,14.1,31.9,34.6,50487.0
1011,14.9,19.6,37.8,43.0,28251.0
1013,15.1,17.7,36.8,36.3,33868.0
1015,14.5,14.9,33.5,32.2,42091.0
1017,16.1,16.4,35.5,39.7,35560.0
1019,13.6,13.3,31.5,33.6,39144.0
1021,10.2,13.3,34.8,35.9,42767.0
1023,14.7,18.1,36.5,40.8,35089.0
1025,14.1,16.3,36.0,38.2,37317.0
1027,13.2,14.6,32.2,37.3,38908.0
1029,11.0,12.6,28.8,30.0,42136.0
1031,12.1,15.9,32.7,33.7,46858.0
1033,13.5,18.7,34.7,37.5,41171.0
1035,14.5,17.4,32.1,36.4,29981.0
1037,13.2,17.3,33.2,39.7,36078.0
1039,13.1,14.7,33.8,34.0,36355.0
1041,12.6,16.5,33.6,39.7,36759.0
1043,11.9,14.4,30.1,33.4,39290.0
1045,13.5,14.1,34.4,36.5,45294.0
1047,15.6,19.0,39.9,40.8,29682.0
1049,11.2,13.4,31.7,30.4,37305.0
1051,9.9,13.4,29.0,35.4,53548.0
1053,12.3,17.8,34.4,37.7,36840.0
1055,11.6,16.8,30.8,35.1,42145.0
1057,12.7,15.1,32.3,33.7,37085.0
1059,12.8,13.9,29.5,33.2,38535.0
1061,12.6,13.9,32.0,34.1,36289.0
1063,18.2,21.0,43.7,46.3,25398.0
1065,15.1,16.0,40.2,40.4,35470.0
1067,13.5,18.7,33.8,35.8,42501.0
1069,12.4,13.7,33.2,32.8,43568.0
1071,11.9,14.9,31.6,32.0,40201.0
1073,12.0,13.0,31.4,33.2,48415.0
1075,12.7,14.9,30.8,33.6,36520.0
1077,12.8,14.2,29.1,32.9,43008.0
1079,12.9,15.6,32.8,35.5,41771.0
1081,9.6,9.5,30.1,29.0,46442.0
1083,10.4,12.6,29.1,32.9,55060.0
1085,17.1,23.5,40.6,45.1,31117.0
1087,16.2,18.4,40.0,44.7,29522.0
1089,13.0,11.5,30.6,32.3,59117.0
1091,15.9,20.2,37.6,40.3,35389.0
1093,11.7,18.7,28.6,35.5,34977.0
1095,11.5,12.8,26.5,33.2,40599.0
1097,12.2,15.6,30.3,37.1,42530.0
1099,13.5,17.8,35.4,35.3,35163.0
1101,12.7,13.5,34.0,34.8,42666.0
1103,11.0,12.6,34.8,31.6,47234.0
1105,17.5,21.7,40.7,43.0,26218.0
1107,14.9,16.4,34.8,36.4,33160.0
1109,12.9,13.5,35.1,38.4,34442.0
1111,12.9,14.9,31.9,30.9,37333.0
1113,13.6,12.9,36.7,36.4,36124.0
1115,11.4,12.8,33.7,33.0,53558.0
1117,8.0,8.7,28.4,30.1,70879.0
1119,17.1,20.1,40.8,40.3,25931.0
1121,13.6,15.3,34.0,39.0,37911.0
1123,14.3,13.7,33.9,36.9,39051.0
1125,11.1,12.3,33.1,34.3,47868.0
1127,13.3,16.7,33.1,33.2,37305.0
1129,12.9,17.8,34.9,40.2,42658.0
1131,17.1,19.3,40.8,44.9,23014.0
1133,10.0,13.2,29.3,30.2,36497.0
2013,5.5,7.6,28.4,33.4,57015.0
2016,5.9,6.2,30.0,39.4,80695.0
2020,7.0,7.0,26.5,27.0,77791.0
2050,5.5,5.8,31.9,30.3,44849.0
2060,6.8,8.5,32.6,39.7,66373.0
2068,6.0,5.8,29.8,27.0,73000.0
2070,7.8,7.2,38.5,38.0,50753.0
2090,5.2,5.5,25.5,28.1,70881.0
2100,6.6,7.9,29.4,25.5,57876.0
2110,5.3,5.9,26.7,28.6,82892.0
2122,6.3,7.2,29.9,28.4,62025.0
2130,7.2,8.9,34.0,30.8,65314.0
2150,6.2,6.6,26.2,30.2,67515.0
2164,7.2,7.4,34.3,31.9,42120.0
2170,5.8,8.2,27.9,30.2,76601.0
2180,7.1,6.0,33.0,31.7,52952.0
2185,7.1,6.5,37.7,36.5,70834.0
2188,6.6,6.5,31.3,32.4,53774.0
2220,6.8,6.7,30.5,28.7,68472.0
2240,6.3,6.9,31.4,33.1,60203.0
2261,6.2,7.4,32.9,30.4,70101.0
2282,7.3,7.9,29.2,31.3,53795.0
2290,6.9,8.3,32.2,28.3,37755.0
4001,13.6,14.4,31.7,35.2,31072.0
4003,8.4,10.3,23.3,26.0,43451.0
4005,7.1,7.6,20.8,23.2,51955.0
4007,10.9,11.2,25.8,27.5,41346.0
4009,9.1,10.3,30.1,32.5,44169.0
4011,8.2,10.7,32.8,34.7,58854.0
4012,12.0,14.8,28.6,32.0,34835.0
4013,7.4,9.0,23.1,25.4,56017.0
4015,11.1,12.8,27.0,29.6,40360.0
4017,12.9,13.1,27.6,30.9,37658.0
4019,7.8,8.8,23.5,24.2,47107.0
4021,8.4,12.3,29.0,31.6,50888.0
4023,6.3,8.0,21.0,23.0,34893.0
4025,8.0,10.5,20.1,25.3,47220.0
4027,10.0,12.6,26.6,30.5,40426.0
5001,12.6,12.9,34.8,33.8,41179.0
5003,11.3,14.5,35.7,42.1,39871.0
5005,11.8,16.0,26.6,32.3,36902.0
5007,7.8,9.6,28.0,30.1,60294.0
5009,10.1,12.4,28.2,33.9,40909.0
5011,12.2,13.1,32.2,39.0,37331.0
5013,12.6,13.7,32.2,34.2,40526.0
5015,10.9,13.0,25.5,35.8,37587.0
5017,14.7,15.2,35.8,43.1,29968.0
5019,10.1,11.6,31.3,34.3,37856.0
5021,12.0,11.1,30.8,33.7,35324.0
5023,11.9,13.5,28.4,31.8,43913.0
5025,11.8,13.0,31.7,35.7,44123.0
5027,12.0,12.9,31.8,36.4,38057.0
5029,10.4,13.7,29.5,39.7,43702.0
5031,10.1,13.1,31.9,36.4,42460.0
5033,8.2,11.4,30.1,35.1,46545.0
5035,13.8,15.8,36.4,38.8,37371.0
5037,12.3,13.6,31.4,37.9,39132.0
5039,13.6,14.4,34.0,36.2,33352.0
5041,13.3,15.1,35.6,39.6,30987.0
5043,10.6,13.6,31.8,34.3,39339.0
5045,9.3,11.2,29.4,33.2,51157.0
5047,10.9,13.8,32.9,37.1,41933.0
5049,11.4,15.6,28.8,32.9,34717.0
5051,10.2,14.5,27.1,32.3,37723.0
5053,9.4,11.1,32.4,38.3,47652.0
5055,9.6,12.9,30.7,31.2,43996.0
5057,13.0,13.5,33.4,40.3,34560.0
5059,10.7,12.2,32.5,34.7,39851.0
5061,11.8,13.4,32.3,35.7,33199.0
5063,10.1,13.1,29.0,37.2,38241.0
5065,9.8,15.5,27.1,33.9,35355.0
5067,11.4,12.9,31.2,37.2,32571.0
5069,12.5,15.4,37.4,40.7,36990.0
5071,9.9,12.5,30.7,36.4,35877.0
5073,13.5,15.3,32.2,36.3,33864.0
5075,11.2,13.2,32.1,31.8,34808.0
5077,12.7,13.1,35.6,35.7,28481.0
5079,10.4,12.3,33.8,37.5,40216.0
5081,11.9,12.9,33.1,32.7,39265.0
5083,9.6,13.8,28.4,37.5,37924.0
5085,10.9,13.1,32.4,35.8,56240.0
5087,9.8,11.8,29.1,34.0,41007.0
5089,11.8,12.2,30.2,31.7,34946.0
5091,13.8,12.3,36.1,35.9,39005.0
5093,12.6,15.9,34.7,39.8,34888.0
5095,13.3,17.2,32.1,37.5,30801.0
5097,10.9,14.3,27.7,33.8,37813.0
5099,13.2,13.9,31.3,36.0,35914.0
5101,12.7,12.8,31.0,34.2,33679.0
5103,13.4,14.8,33.5,34.8,37987.0
5105,10.0,12.2,28.9,37.5,43020.0
5107,13.8,16.7,38.2,45.5,28224.0
5109,11.0,12.4,29.0,37.8,36266.0
5111,11.9,13.8,34.1,38.4,32756.0
5113,10.7,13.9,31.9,36.7,34723.0
5115,9.6,11.2,31.1,32.1,41074.0
5117,11.1,14.3,30.3,36.3,39518.0
5119,10.0,12.0,28.3,31.7,46473.0
5121,11.4,12.7,30.3,35.3,34730.0
5123,12.9,16.4,34.8,42.5,31625.0
5125,9.6,11.8,29.6,32.5,56926.0
5127,10.9,11.4,31.2,32.5,36028.0
5129,12.5,13.4,30.1,35.0,30427.0
5131,10.1,12.9,29.8,36.9,41452.0
5133,12.1,12.2,32.8,36.7,41848.0
5135,11.2,15.2,26.7,37.3,32095.0
5137,11.0,12.7,29.7,32.6,32023.0
5139,11.1,13.5,29.7,39.4,42195.0
5141,11.1,12.9,29.2,35.6,38306.0
5143,7.8,9.1,27.4,30.6,46418.0
5145,8.8,10.1,29.0,36.3,42508.0
5147,12.2,14.7,32.3,35.8,31013.0
5149,11.7,12.9,32.9,37.1,37415.0
6001,7.6,8.5,19.5,20.0,81462.0
6003,8.4,10.3,24.6,23.4,50882.0
6005,9.3,10.2,24.6,25.5,55879.0
6007,8.3,10.2,24.4,25.9,45369.0
6009,7.3,10.0,24.4,23.5,52471.0
6011,7.6,9.6,24.6,25.4,51118.0
6013,7.0,9.4,24.6,25.0,83036.0
6015,8.1,8.4,28.5,25.5,38963.0
6017,7.1,7.5,20.3,20.6,75575.0
6019,8.5,9.4,28.4,26.6,46608.0
6021,7.7,8.4,28.5,26.7,43584.0
6023,9.4,8.8,25.1,25.5,40739.0
6025,6.7,8.3,26.7,26.3,39925.0
6027,8.0,9.4,22.7,23.3,51697.0
6029,7.0,9.3,29.0,30.3,51150.0
6031,5.7,7.5,29.4,26.4,46440.0
6033,9.2,10.1,25.8,26.2,37993.0
6035,6.5,7.6,28.4,23.9,54670.0
6037,7.8,9.1,20.9,21.4,59045.0
6039,7.8,7.9,28.7,26.5,46593.0
6041,6.4,7.9,16.3,18.9,99868.0
6043,8.3,10.7,23.8,24.4,44595.0
6045,7.0,8.4,21.0,22.4,43237.0
6047,7.5,9.2,31.4,29.5,42879.0
6049,8.2,10.4,22.8,23.2,38402.0
6051,7.0,7.4,20.7,22.8,53992.0
6053,7.8,7.6,22.7,22.3,60047.0
6055,7.3,8.4,22.0,23.7,72683.0
6057,6.9,7.7,21.3,21.1,57627.0
6059,7.0,8.0,18.8,19.7,78002.0
6061,7.1,9.0,18.9,21.7,76203.0
6063,8.0,9.8,23.1,23.0,46813.0
