FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,MEDHHINC15,agi_bracket_08,total_returns_08,joint_returns_08,exemptions_08,dependents_08,agi_kUSD_08,agi_bracket_13,total_returns_13,joint_returns_13,exemptions_13,dependents_13,agi_kUSD_13
1001,11.4,13.0,31.5,34.1,56580.0,196.0,37818.0,13267.0,80507.0,18857.0,1561359.483,168.0,37100.0,12630.0,78730.0,30900.0,1669400.0
1005,13.6,18.4,37.6,44.4,31433.0,126.0,5103.0,1842.0,10809.0,2468.0,167144.718,126.0,4910.0,1620.0,10390.0,4000.0,185622.0
1007,11.1,14.8,32.3,40.3,40767.0,126.0,9646.0,3912.0,20539.0,4378.0,403001.035,105.0,9500.0,3750.0,20290.0,7550.0,404818.0
1009,11.4,14.1,31.9,34.6,50487.0,406.0,63295.0,31666.0,136635.0,25973.0,2847380.1050000004,336.0,63020.0,30250.0,135970.0,46710.0,2990593.0
1011,14.9,19.6,37.8,43.0,28251.0,28.0,13320.0,5364.0,26078.0,4834.0,840728.849,21.0,15290.0,6210.0,30620.0,10570.0,1098174.0
1013,15.1,17.7,36.8,36.3,33868.0,112.0,10717.0,3434.0,22325.0,5447.0,369775.66699999996,105.0,10020.0,3170.0,21020.0,8260.0,386833.0
1015,14.5,14.9,33.5,32.2,42091.0,28.0,4890.0,1943.0,9815.0,1912.0,191241.586,21.0,4650.0,1680.0,9240.0,3140.0,175968.0
1017,16.1,16.4,35.5,39.7,35560.0,252.0,32046.0,10275.0,66302.0,15723.0,1148738.788,210.0,32770.0,9950.0,67610.0,26550.0,1275444.0
1019,13.6,13.3,31.5,33.6,39144.0,210.0,32642.0,13476.0,68518.0,14192.0,1292883.227,168.0,31280.0,12490.0,66540.0,24430.0,1286645.0
1021,10.2,13.3,34.8,35.9,42767.0,77.0,11999.0,5159.0,25063.0,4995.0,544530.6749999999,63.0,12900.0,5200.0,27160.0,9680.0,591570.0
1023,14.7,18.1,36.5,40.8,35089.0,21.0,938.0,502.0,2081.0,389.0,43618.782,21.0,910.0,490.0,2010.0,660.0,50552.0
1027,13.2,14.6,32.2,37.3,38908.0,28.0,2255.0,933.0,4968.0,1043.0,78402.315,21.0,2080.0,860.0,4340.0,1480.0,80371.0
1029,11.0,12.6,28.8,30.0,42136.0,140.0,13323.0,5957.0,27564.0,5290.0,659821.35,126.0,12980.0,5630.0,26970.0,9050.0,669519.0
1031,12.1,15.9,32.7,33.7,46858.0,406.0,47053.0,20488.0,97150.0,19330.0,1962144.8680000002,336.0,46410.0,19530.0,97240.0,33540.0,2153984.0
1033,13.5,18.7,34.7,37.5,41171.0,245.0,35771.0,15583.0,76689.0,15110.0,1452415.146,189.0,34590.0,14810.0,73110.0,25690.0,1548521.0
1035,14.5,17.4,32.1,36.4,29981.0,77.0,20202.0,8845.0,42665.0,8607.0,914409.8430000001,63.0,20580.0,8620.0,44330.0,16200.0,1045254.0
1037,13.2,17.3,33.2,39.7,36078.0,245.0,27502.0,10577.0,58513.0,12767.0,1112247.3939999999,210.0,26020.0,9700.0,54280.0,20040.0,1132627.0
1039,13.1,14.7,33.8,34.0,36355.0,77.0,9315.0,4064.0,18987.0,3778.0,377976.19899999996,63.0,8950.0,3910.0,18460.0,6100.0,434491.0
1041,12.6,16.5,33.6,39.7,36759.0,308.0,21358.0,8174.0,44157.0,9773.0,791363.2910000001,273.0,20390.0,7660.0,42250.0,15230.0,839355.0
