FIPS,STATE,NO_OF_DEPENDENTS,NO_OF_LOW_INCOME,NO_OF_MIDDLE_INCOME,NO_OF_HIGH_INCOME,AVG_DEPENDENTS,AVG_LOW_INCOME,AVG_MIDDLE_INCOME,AVG_HIGH_INCOME,AGI
1001,AL,251,527,611,111,970478.0,8796334.0,11180212.0,12900771.0,8761569.0
1003,AL,14929,19351,35890,9833,41332743.0,332574395.0,649070713.0,1018878121.0,504562080.0
1005,AL,697,1130,1289,149,2094670.0,19790857.0,24095265.0,17698672.0,17617014.0
1007,AL,354,602,665,68,1609753.0,10094967.0,12868595.0,9011851.0,9364976.0
1009,AL,969,1392,2726,279,3272393.0,23889436.0,49721093.0,33475419.0,33787623.0
1011,AL,170,383,315,19,784167.0,6718219.0,6702628.0,2487018.0,5484743.0
1015,AL,5597,7537,12316,1702,26765840.0,127874784.0,223940792.0,184435357.0,154153080.0
1017,AL,1720,3256,3224,324,7844703.0,54998116.0,61744879.0,33606385.0,47222045.0
1019,AL,957,1397,2234,320,3105338.0,23666642.0,40446605.0,34538545.0,28004107.0
1021,AL,2558,3776,6773,911,11131254.0,64646222.0,123029407.0,98795021.0,85308769.0
1023,AL,473,646,1188,197,1833948.0,10955999.0,21722862.0,27126922.0,15613337.0
1025,AL,1295,2363,3112,556,5183969.0,38812744.0,56309276.0,55843160.0,41593096.0
1029,AL,1823,2333,5074,1089,7059379.0,39987477.0,92077803.0,112260140.0,67410999.0
1031,AL,458,681,1262,199,1442831.0,11575376.0,23028883.0,20362177.0,16022373.0
1033,AL,2710,3925,6203,1203,12807064.0,66421492.0,112133134.0,121751728.0,81008522.0
1037,AL,535,741,1410,242,2069815.0,12555146.0,25533104.0,25966853.0,17997394.0
1039,AL,1101,1520,2390,362,4197008.0,25776324.0,43501529.0,39322848.0,30151581.0
1041,AL,3365,5259,6426,867,13759223.0,89494824.0,118026146.0,92020298.0,85139830.0
1043,AL,4653,6492,11325,1743,17391587.0,111420850.0,207404005.0,178026847.0,143039622.0
1045,AL,4808,6409,12346,2397,19485450.0,110441961.0,223348182.0,255086722.0,160647461.0
1047,AL,1525,2729,2288,206,7827062.0,45198734.0,44891206.0,21850683.0,35935971.0
1049,AL,4400,6784,9810,1157,15224679.0,118156274.0,181795824.0,120020077.0,125991649.0
1051,AL,7841,11102,22164,5141,34088339.0,187724559.0,400962369.0,559209371.0,305164116.0
1053,AL,2831,4260,6108,920,11646732.0,72672841.0,111924178.0,92215818.0,78690391.0
1055,AL,6982,10381,15605,2279,30871230.0,176993536.0,284511182.0,231681371.0,199186077.0
1057,AL,83,91,230,21,390604.0,1629719.0,4306520.0,2858204.0,2897050.0
1059,AL,3063,5316,7434,1080,13529189.0,91978032.0,135311959.0,110597434.0,98013938.0
