FIPS,STATE,agi_stub,N1,A00100
1001,AL,1,251,970478
1001,AL,2,527,8796334
1001,AL,3,353,12643682
1001,AL,4,154,9404183
1001,AL,5,104,8842745
1001,AL,6,100,13899206
1001,AL,7,11,3824094
1001,AL,8,0,0
1003,AL,1,14929,41332743
1003,AL,2,19351,332574395
1003,AL,3,18215,659241902
1003,AL,4,10824,667624127
1003,AL,5,6851,592715386
1003,AL,6,7685,1017827648
1003,AL,7,2148,1022636448
1003,AL,8,0,0
1005,AL,1,697,2094670
1005,AL,2,1130,19790857
1005,AL,3,786,27849086
1005,AL,4,329,19951038
1005,AL,5,174,14974271
1005,AL,6,134,19115480
1005,AL,7,15,5041856
1005,AL,8,0,0
1007,AL,1,354,1609753
1007,AL,2,602,10094967
1007,AL,3,422,15081833
1007,AL,4,165,10120663
1007,AL,5,78,6707339
1007,AL,6,56,7092817
1007,AL,7,12,17967344
1007,AL,8,0,0
1009,AL,1,969,3272393
1009,AL,2,1392,23889436
1009,AL,3,1475,52942918
1009,AL,4,834,50941367
1009,AL,5,417,35884403
1009,AL,6,268,34690265
1009,AL,7,11,3877344
1009,AL,8,0,0
1011,AL,1,170,784167
1011,AL,2,383,6718219
1011,AL,3,235,7866570
1011,AL,4,61,3781939
1011,AL,5,19,1683451
1011,AL,6,19,2487018
1011,AL,7,0,0
1011,AL,8,0,0
1015,AL,1,5597,26765840
1015,AL,2,7537,127874784
1015,AL,3,6630,238029255
1015,AL,4,3711,227658564
1015,AL,5,1975,169660709
1015,AL,6,1541,196406083
1015,AL,7,161,69858408
1015,AL,8,0,0
1017,AL,1,1720,7844703
1017,AL,2,3256,54998116
1017,AL,3,2089,72639021
1017,AL,4,766,46420079
1017,AL,5,369,31882916
1017,AL,6,269,35050644
1017,AL,7,55,26542646
1017,AL,8,0,0
1019,AL,1,957,3105338
1019,AL,2,1397,23666642
1019,AL,3,1214,43391508
1019,AL,4,646,39730990
1019,AL,5,374,32123541
1019,AL,6,279,36295389
1019,AL,7,41,22583436
1019,AL,8,0,0
1021,AL,1,2558,11131254
1021,AL,2,3776,64646222
1021,AL,3,3636,131316573
1021,AL,4,1997,122254953
1021,AL,5,1140,97954361
1021,AL,6,822,105626087
1021,AL,7,89,35703601
1021,AL,8,0,0
