FIPS,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
01001, Alabama,Autauga ,54571,55255,55027,54792,54977,55035,55416
01003, Alabama,Baldwin ,182265,186653,190403,195147,199745,203690,208563
01005, Alabama,Barbour ,27457,27326,27132,26938,26763,26270,25965
01007, Alabama,Bibb ,22915,22736,22645,22501,22511,22561,22643
01009, Alabama,Blount ,57322,57707,57772,57746,57621,57676,57704
01011, Alabama,Bullock ,10914,10722,10654,10576,10712,10455,10362
01013, Alabama,Butler ,20947,20848,20665,20330,20283,20126,19998
01015, Alabama,Calhoun ,118572,117736,117208,116475,115837,115285,114611
01017, Alabama,Chambers ,34215,34006,34084,34123,33996,34043,33843
01019, Alabama,Cherokee ,25989,26073,26017,26074,25944,25726,25725
01021, Alabama,Chilton ,43643,43758,43693,43769,43874,43809,43941
01023, Alabama,Choctaw ,13859,13610,13549,13384,13310,13201,12993
01025, Alabama,Clarke ,25833,25549,25148,25105,24862,24726,24392
01027, Alabama,Clay ,13932,13676,13461,13464,13503,13495,13492
01029, Alabama,Cleburne ,14972,14976,14928,15031,15076,14996,14924
01031, Alabama,Coffee ,49948,50484,51180,50729,50757,51063,51226
01033, Alabama,Colbert ,54428,54460,54493,54456,54427,54295,54216
01035, Alabama,Conecuh ,13228,13193,13007,12866,12621,12597,12395
01037, Alabama,Coosa ,11539,11369,11201,11058,10794,10687,10581
01039, Alabama,Covington ,37765,38066,37842,37890,37795,37661,37458
01041, Alabama,Crenshaw ,13906,13903,13920,13874,13898,13876,13913
01043, Alabama,Cullman ,80406,80457,80351,80731,81167,81858,82471
01045, Alabama,Dale ,50251,50119,50296,49753,49389,49370,49226
01047, Alabama,Dallas ,43820,43207,42748,41950,41532,40893,40008
01049, Alabama,DeKalb ,71109,71389,70961,70882,70947,70996,70900
01051, Alabama,Elmore ,79303,80030,80291,80661,80794,81238,81799
01053, Alabama,Escambia ,38319,38227,38063,37877,37878,37827,37728
01055, Alabama,Etowah ,104430,104236,104215,103790,103371,102873,102564
01057, Alabama,Fayette ,17241,17063,16966,16858,16821,16723,16546
01059, Alabama,Franklin ,31704,31734,31652,31505,31540,31542,31628
01061, Alabama,Geneva ,26790,26843,27012,26754,26688,26755,26614
01063, Alabama,Greene ,9045,8926,8837,8702,8525,8450,8422
01065, Alabama,Hale ,15760,15377,15393,15293,15081,15075,14952
01067, Alabama,Henry ,17302,17405,17237,17188,17156,17191,17164
01069, Alabama,Houston ,101547,102480,103382,103614,104177,104225,104056
01071, Alabama,Jackson ,53227,53275,53087,52939,52580,52298,52138
01073, Alabama,Jefferson ,658466,657669,657639,658578,659733,660007,659521
01075, Alabama,Lamar ,14564,14301,14257,14192,14062,13902,13918
01077, Alabama,Lauderdale ,92709,92593,92694,92713,93005,92477,92318
01079, Alabama,Lawrence ,34339,34052,33788,33570,33432,33133,33244
01081, Alabama,Lee ,140247,144123,148289,151411,154277,156767,158991
01083, Alabama,Limestone ,82782,85571,87368,88904,90640,91622,92753
01085, Alabama,Lowndes ,11299,11117,10835,10685,10524,10422,10358
01087, Alabama,Macon ,21452,21317,20632,20016,19594,19215,18963
01089, Alabama,Madison ,334811,339594,342773,346704,350121,353302,356967
